id,Country Name,country,birth,code,region,lat,long
172,New Caledonia,New Caledonia,8.32,NCL,Oceania,-21.631074,165.983953
173,Niger,Niger,28.956,NER,Africa,16,8
174,Nigeria,Nigeria,22.104,NGA,Africa,10,8
175,Nicaragua,Nicaragua,8.8,NIC,Africa,13,-85
176,Netherlands,Netherlands,6.64,NLD,Europe,52.5,5.75
177,Norway,Norway,6.88,NOR,Europe,62,10
178,Nepal,Nepal,8.472,NPL,Africa,28,84
180,New Zealand,New Zealand,7.48,NZL,Oceania,-41,174
181,OECD members,,6.905303514,OED,,,
182,Oman,Oman,10.664,OMN,Asia,21,57
183,Other small states,,12.41949667,OSS,,,
184,Pakistan,Pakistan,13.924,PAK,Asia,30,70
185,Panama,Panama,10.056,PAN,America,9,-80
186,Peru,Peru,9.6,PER,America,-10,-76
187,Philippines,Philippines,11.7,PHL,Asia,13,122
189,Papua New Guinea,Papua New Guinea,14.632,PNG,Oceania,-6,147
190,Poland,Poland,5.28,POL,Europe,52,20
191,Pre-demographic dividend,,20.69825833,PRE,,,
192,Puerto Rico,Puerto Rico,5.2,PRI,America,18.288698,-66.421804
193,"Korea, Dem. People’s Rep.",Mongolia,7.64,PRK,Asia,46,105
194,"Korea, Dem. People’s Rep.",North Korea,7.64,PRK,Asia,40,127
195,Portugal,Portugal,5.24,PRT,Europe,39.5,-8
196,Paraguay,Paraguay,9.92,PRY,America,-23,-58
197,West Bank and Gaza,,16.032,PSE,,,
198,Pacific island small states,,12.83087726,PSS,,,
199,Post-demographic dividend,,6.460591446,PST,,,
200,French Polynesia,,8.052,PYF,,,
201,Qatar,Qatar,7.628,QAT,Asia,25.5,51.25
202,Romania,Romania,6.32,ROU,Europe,46,25
203,Russian Federation,Russia,7,RUS,Asia,60,100
204,Rwanda,Rwanda,15.54,RWA,Africa,-2,30
205,South Asia,,9.838456828,SAS,,,
206,Saudi Arabia,Saudi Arabia,10.128,SAU,Asia,25,45
207,Sudan,Sudan,18.128,SDN,Africa,15,30
208,Senegal,Senegal,19.076,SEN,Africa,14,-14
209,Singapore,Singapore,4.8,SGP,Asia,1.3667,103.8
210,Solomon Islands,Solomon Islands,15.4,SLB,Oceania,-8,159
211,Sierra Leone,Sierra Leone,17.828,SLE,Africa,8.5,-11.5
212,El Salvador,El Salvador,8.316,SLV,America,13.8333,-88.9167
214,Somalia,Somalia,25.068,SOM,Africa,10,49
215,Somalia,Somaliland,25.068,SOM,Africa,9.779414,46.912799
216,Serbia,Republic of Serbia,5.84,SRB,Europe,44,21
217,Sub-Saharan Africa (excluding high income),,19.39902395,SSA,,,
218,South Sudan,South Sudan,19.42,SSD,Africa,7.010777,30.90605
219,Sub-Saharan Africa,,19.39820087,SSF,,,
220,Small states,,11.61621159,SST,,,
221,Sao Tome and Principe,Sao Tome and Principe,17.824,STP,Africa,1,7
222,Suriname,Suriname,9.488,SUR,America,4,-56
223,Slovak Republic,Slovakia,5.6,SVK,Europe,48.6667,19.5
224,Slovenia,Slovenia,6.28,SVN,Europe,46,15
225,Sweden,Sweden,7.4,SWE,Europe,62,15
226,Swaziland,Swaziland,12.336,SWZ,Africa,-26.5,31.5
228,Seychelles,Seychelles,11.12,SYC,Africa,-4.5833,55.6667
229,Syrian Arab Republic,Syria,11.664,SYR,Asia,35,38
231,Chad,Chad,23.788,TCD,Africa,15,19
232,East Asia & Pacific (IDA & IBRD countries),,7.389050461,TEA,,,
233,Europe & Central Asia (IDA & IBRD countries),,7.543910473,TEC,,,
234,Togo,Togo,17.8,TGO,Africa,8,1.1667
235,Thailand,Thailand,5.928,THA,Asia,15,100
236,Tajikistan,Tajikistan,13.44,TJK,Asia,39,71
237,Turkmenistan,Turkmenistan,11.552,TKM,Asia,40,60
238,Latin America & the Caribbean (IDA & IBRD countries),,8.298756364,TLA,,,
239,Timor-Leste,East Timor,22.012,TLS,Asia,-8.55,125.5167
240,Middle East & North Africa (IDA & IBRD countries),,11.23595875,TMN,,,
241,Tonga,Tonga,14.544,TON,Africa,-20,-175
242,South Asia (IDA & IBRD),,9.838456828,TSA,,,
243,Sub-Saharan Africa (IDA & IBRD countries),,19.39820087,TSS,,,
244,Trinidad and Tobago,Trinidad and Tobago,7.008,TTO,Africa,11,-61
245,Tunisia,Tunisia,8.804,TUN,Africa,34,9
246,Turkey,Turkey,8.212,TUR,Asia,39,35
248,Tanzania,United Republic of Tanzania,20.064,TZA,Africa,-6,35
249,Uganda,Uganda,22.364,UGA,Africa,1,32
250,Ukraine,Ukraine,5.864,UKR,Europe,49,32
251,Upper middle income,,7.30280391,UMC,,,
252,Uruguay,Uruguay,7.98,URY,America,-33,-56
253,United States,United States of America,7.2,USA,America,38,-97
254,Uzbekistan,Uzbekistan,9.82,UZB,Asia,41,64
255,St. Vincent and the Grenadines,Saint Vincent and the Grenadines,7.724,VCT,America,13.25,-61.2
256,"Venezuela, RB",Venezuela,9.268,VEN,America,8,-66
258,Virgin Islands (U.S.),,8.36,VIR,,,
259,Vietnam,Vietnam,7.816,VNM,Asia,16,106
260,Vanuatu,Vanuatu,13.1,VUT,Oceania,-16,167
261,World,,9.756102199,WLD,,,
262,Samoa,Samoa,15.904,WSM,Oceania,-13.5833,-172.3333
263,Kosovo,Kosovo,8.24,XKX,Europe,42.614681,20.824454
264,"Yemen, Rep.",Yemen,15.98,YEM,Asia,15,48
265,South Africa,South Africa,9.832,ZAF,Africa,-29,24
266,Zambia,Zambia,19.924,ZMB,Africa,-15,30
267,Zambia,Nauru,19.924,ZMB,Oceania,-0.5333,166.9167
268,Zimbabwe,Zimbabwe,15.04,ZWE,Africa,-20,30
